,Ticker_ID,Comment_Frequency,Upvotes
737,HOWS,2,64
428,35C,4,64
999,WORD,2,64
928,1B+,3,64
898,INV,1,63
105,INTC,7,63
439,FKIN,3,62
138,NKE,2,62
905,FIX,2,62
461,EVE,3,62
440,OLD,4,61
240,GIM,5,61
431,BBC,1,61
1029,LOTS,1,61
673,PENN,7,61
289,AAP,3,61
556,JPM,6,60
831,RYAN,3,60
469,DAD,5,60
1023,NEV,1,60
696,AGA,2,59
235,WWE,5,59
184,FLAG,4,59
1091,VALE,6,59
379,CLAP,2,58
1009,GAVE,1,58
413,STR,2,58
801,AGO,2,58
609,SHET,1,58
951,'ITS,1,58
626,LOV,2,58
426,T-20,2,57
1005,PRAY,2,57
222,III,4,57
334,TRUE,3,57
1030,SUN,1,56
423,CAD,4,56
398,THR,3,56
1,MMAT,5,56
1015,GROW,2,55
627,CIA,4,55
1013,37M,1,55
671,4K+,1,55
341,INO,6,55
922,SHI,2,55
643,WIT,1,55
844,SLOW,3,54
1012,LAD,1,54
733,XPEV,5,54
989,1PM,2,54
1014,NAP,1,54
1004,DROP,2,54
410,BBY,2,54
1055,EFT,1,53
260,SHES,4,53
633,10M,3,53
246,GIRL,4,53
965,SND,2,52
257,PINS,5,52
759,MASS,2,52
717,LOG,2,51
1024,GME💎,1,51
752,NYC,4,51
842,HIG,2,51
827,AIDS,2,50
279,XOM,5,50
1031,IPHO,1,50
412,200M,3,50
449,HOE,3,50
751,QQQJ,4,50
392,CHPT,4,50
161,200K,2,50
979,ROAD,1,49
381,FSR,5,49
1032,LIN,1,48
984,FOLD,2,48
1107,LSAT,1,48
414,LOCK,2,48
972,OCG,2,47
417,BB🍆,2,47
955,RESR,1,47
906,MEAN,2,47
770,FFS,2,46
244,MAPS,3,46
601,LAND,3,46
680,P500,4,46
509,SIX,5,46
1035,MAS,1,46
578,VERY,4,45
70,BAC,4,45
190,MODE,4,45
573,LIED,3,45
372,YEA,3,45
12,EDIT,6,45
369,HOT,3,44
668,CAL,3,44
712,DRI,2,43
470,DIRT,2,43
1036,WARR,1,43
701,MRNA,4,43
180,FILL,3,42
302,UPON,2,42
351,BLNK,3,42
441,IMAX,2,42
1025,PLOW,1,41
320,MOO,3,41
990,FAIL,2,41
303,SUCH,3,41
362,ING,2,41
935,MOMS,2,40
586,TQQQ,4,40
116,PYPL,4,40
464,GLAD,2,40
837,ROOM,3,40
1037,REF,1,40
281,PULL,3,40
187,FIVE,3,39
1061,💎🙌BB,2,39
307,TEAR,3,39
460,COOL,2,39
920,ZOOM,2,38
271,BER,4,38
547,XYZ,3,38
652,BRB,4,38
987,GOO🚀,1,38
1019,WHA,1,38
457,🚀GME,4,38
415,ARNT,2,38
1065,MAK,1,38
870,80K,2,38
337,HTBX,3,37
270,ARVL,3,37
593,BIT,4,37
962,TMR,1,37
1085,OPE,2,37
825,TODA,2,37
310,PILE,2,37
195,IDEX,3,37
505,NFL,2,37
273,TLDR,3,36
1101,COST,2,36
484,FRO,2,36
238,JERK,2,36
747,205C,2,36
305,JIM,3,36
405,310M,1,36
385,ENPH,3,35
188,TENS,1,35
826,SSX,1,35
623,WW2,3,35
620,TWTR,3,35
598,SAFE,3,35
819,DBZ,1,35
961,TREE,1,35
361,HER,2,35
519,CVS,3,35
489,FUKT,3,35
291,KICK,2,35
695,SOY,1,34
434,GME/,2,34
406,450K,1,34
757,U.S,2,34
678,BIRD,2,34
204,MILF,2,34
816,HUH,1,33
473,KOSS,3,33
629,65K,2,33
862,HES,3,33
563,TALK,2,33
988,NOW🚀,1,33
986,PROF,1,32
338,60K,2,32
774,ADBE,2,32
1081,TSX,3,32
1083,SHO,2,32
491,F150,4,32
420,EOD…,1,32
727,WFH,3,32
1123,JMIA,1,32
706,900C,3,32
886,BUL,2,31
488,13B,3,31
409,AKA,1,31
917,SDB,1,31
703,DEMO,3,31
997,WIFI,1,31
681,ROCK,3,30
192,30B,2,30
1150,MIA,2,30
653,0DT,3,30
541,11C,2,30
272,TTWO,3,30
728,SKY,3,30
956,COKE,1,30
793,EYE,2,29
513,ABNB,4,29
1093,MELV,1,29
871,WILD,2,29
775,DIED,2,29
583,TIK,2,29
451,BOIZ,2,29
992,LEZ,1,29
843,DTCC,1,29
823,250K,1,29
798,BOND,2,28
832,MSOS,2,28
416,I.T,1,28
474,UMC,3,28
1119,PRES,2,28
1066,TOOK,1,27
756,ABC,2,27
163,FDS,3,27
1080,ROLE,1,27
300,RNG,1,27
964,BZUN,1,27
552,UGLY,2,27
183,PLA,2,27
991,BROS,1,27
864,PASS,2,27
421,BB…,1,26
147,SRNE,2,26
600,LMND,3,26
1000,RECE,1,26
540,GAT,1,26
1001,BUSY,1,26
938,AHPA,2,26
1068,NEE,1,26
402,30C,2,26
86,BODY,2,26
225,DFH,2,26
723,MSF,2,26
349,CLF…,1,26
1067,AFTE,1,26
1116,17K,1,25
1058,NSF,1,25
37,NEGG,4,25
1138,GONN,1,25
910,CODE,1,25
924,IBKR,2,25
347,162M,1,25
252,CCXI,2,25
313,ADHD,2,25
528,UWMS,2,25
206,NUTS,2,25
521,DPO,2,25
1003,RES,1,24
792,CRAK,2,24
350,233M,1,24
789,TYPE,2,24
715,ICU,2,24
544,LAZR,3,24
856,WPG,1,24
39,BOA,2,24
298,GOGO,2,24
176,MMS,2,24
707,NET,2,24
686,LOS,1,24
447,FORD,3,24
936,HIMX,2,24
17,CRSP,3,24
619,EDR,2,23
551,BFLY,2,23
1062,LWTS,1,23
596,FSLY,2,23
702,8AM,1,23
1063,ETSY,1,23
887,WYA🚀,1,23
527,ATT,2,23
418,OOO,1,23
742,SUM,2,23
642,MED,1,23
1069,ITTT,1,23
151,PCE,2,23
466,BBW,2,23
624,CFO,2,23
219,DEBT,2,23
419,107K,1,23
590,GPRO,3,23
389,BB😅,1,23
236,ASK🚀,1,23
1094,PPL,1,22
797,AZN,1,22
1096,PRI,1,22
772,GDP,2,22
932,COO,2,22
818,224M,1,22
1060,JUPI,1,22
753,MIC,3,22
820,VIES,1,22
1070,DUBS,1,22
581,TOWN,2,22
485,50B,3,22
611,EARN,2,22
292,DKN,2,22
580,THC,1,22
265,GVT,1,22
314,PISS,2,21
665,48K,1,21
865,AIN,1,21
332,CP3,1,21
1140,GOP,2,21
952,POT,1,21
1137,CRM,2,21
377,AIM,1,21
817,AMC-,1,21
1102,NYT,1,21
1071,ATLE,1,21
679,WOLF,2,21
878,SELF,1,21
476,IPO\,1,21
1122,10B,1,21
